,english,korean
0,Life begins at the end of your comfort zone.,인생은 당신의 편안한 영역의 끝에서 시작된다.
1,The most personal is the most creative.,가장 개인적인 것이 가장 창의적이다.
2,Let's embrace the coming year with great hopes.,새해를 큰 희망으로 맞이합시다.
3,Much of what I stumbled into by following my curiosity and intuition turned out to be priceless.,나의 호기심과 직관에 따라 내가 우연히 마주친 많은 것들은 값을 매길 수 없는 것으로 드러났다.
4,You can't connect the dots looking forward.,앞을 보고 점을 연결할 수는 없습니다.
5,I'm here to just tell you my sincere path.,저의 진실한 길을 알려드리려고 왔습니다.
6,I'm doing something because I love it and I believe it.,나는 그것을 사랑하고 믿기 때문에 무언가를 하고 있다.
7,I realized I don't know how to be anything but myself.,나는 내가 나 자신 외에는 아무것도 될 줄 모른다는 것을 깨달았다.
8,quit game,사냥을 그만두다
9,attack on sight,조준 공격
10,defense stats,방위 통계
11,stargazing card,별을 보는 카드
12,continue?,계속?
